날짜,홈 팀,홈 점수,원정 팀,원정 점수
2024-03-09,두산,12,키움,8
2024-03-10,두산,3,키움,1
2024-03-11,NC,9,키움,3
2024-03-12,NC,8,키움,7
2024-03-14,SSG,4,키움,5
2024-03-15,SSG,11,키움,6
2024-03-16,LG,3,키움,1
2024-03-19,LG,12,키움,1
2024-03-23,KIA,7,키움,5
2024-03-24,KIA,0,키움,0
2024-03-26,NC,10,키움,5
2024-03-27,NC,6,키움,2
2024-03-28,NC,0,키움,0
2024-03-29,키움,0,LG,3
2024-03-30,키움,8,LG,3
2024-03-31,키움,8,LG,4
