날짜,홈 팀,홈 점수,원정 팀,원정 점수
2024-09-03,NC,11,키움,5
2024-09-04,NC,13,키움,6
2024-09-05,NC,7,키움,12
2024-09-06,KIA,14,키움,0
2024-09-07,KIA,6,키움,2
2024-09-08,KIA,5,키움,2
2024-09-10,키움,7,두산,1
2024-09-11,LG,5,키움,9
2024-09-12,LG,0,키움,0
2024-09-14,KIA,3,키움,2
2024-09-15,KIA,5,키움,10
2024-09-16,두산,5,키움,4
2024-09-17,키움,2,KT,4
2024-09-19,SSG,8,키움,6
2024-09-20,SSG,0,키움,0
2024-09-21,삼성,0,키움,0
2024-09-22,삼성,9,키움,8
2024-09-24,키움,5,한화,4
2024-09-25,삼성,6,키움,3
2024-09-26,LG,6,키움,3
2024-09-27,KT,8,키움,7
2024-09-28,KT,10,키움,7
2024-09-30,SSG,7,키움,2
