날짜,홈 팀,홈 점수,원정 팀,원정 점수
2024-07-02,키움,4,LG,2
2024-07-03,키움,4,LG,1
2024-07-04,키움,2,LG,3
2024-07-09,키움,5,한화,3
2024-07-10,키움,0,한화,7
2024-07-11,키움,5,한화,4
2024-07-12,NC,9,키움,2
2024-07-13,NC,11,키움,5
2024-07-14,NC,0,키움,0
2024-07-16,키움,3,KT,4
2024-07-17,키움,2,KT,9
2024-07-18,키움,8,KT,12
2024-07-19,SSG,9,키움,3
2024-07-20,SSG,0,키움,0
2024-07-21,SSG,2,키움,7
2024-07-23,두산,6,키움,3
2024-07-24,두산,7,키움,4
2024-07-25,두산,1,키움,6
2024-07-26,키움,5,KIA,4
2024-07-27,키움,6,KIA,5
2024-07-28,키움,3,KIA,4
2024-07-30,키움,6,NC,2
2024-07-31,키움,0,NC,9
