날짜,홈 팀,홈 점수,원정 팀,원정 점수
2024-08-01,키움,14,NC,9
2024-08-02,두산,4,키움,6
2024-08-03,두산,5,키움,15
2024-08-04,두산,0,키움,0
2024-08-06,키움,2,SSG,6
2024-08-07,키움,2,SSG,6
2024-08-08,키움,3,SSG,0
2024-08-09,한화,7,키움,5
2024-08-10,한화,1,키움,3
2024-08-11,한화,3,키움,7
2024-08-13,키움,0,KIA,2
2024-08-14,키움,2,KIA,1
2024-08-15,키움,1,KIA,12
2024-08-16,롯데,4,키움,0
2024-08-17,롯데,7,키움,8
2024-08-18,롯데,5,키움,4
2024-08-20,KT,2,키움,3
2024-08-21,KT,5,키움,0
2024-08-22,KT,3,키움,2
2024-08-23,키움,9,LG,3
2024-08-24,키움,0,LG,7
2024-08-25,키움,6,LG,4
2024-08-27,키움,0,삼성,1
2024-08-28,키움,5,삼성,9
2024-08-29,키움,0,삼성,1
2024-08-30,키움,2,롯데,8
