,피안타율,피안타율_1,피안타율_2,피안타율_3,피안타율_4,피안타율_5,피안타율_6,피안타율_7,피안타율_8,피안타율_9,피안타율_10,피안타율_11,피안타율_12,피안타율_13,피안타율_14,피안타율_15,피안타율_16,피안타율_17,피안타율_18,피안타율_19,피안타율_20,피안타율_21,피안타율_22,피안타율_23,피안타율_24,피안타율_25
0,타율 - 전체,0.0,0.308,0.095,0.0,0.0,0.083,0.5,0.146,0.147,0.333,0.219,0.283,0.406,0.349,0.0,0.28,0.273,0.356,0.156,0.222,0.0,0.3,0.227,0.25,0.0
4,타율 - 커브,,,,,,,0.0,0.0,0.0,,0.0,0.5,0.75,0.5,,1.0,0.0,0.5,,,,0.5,0.333,0.0,
5,타율 - 슬라이더,,,,0.0,0.0,0.5,0.333,0.333,0.0,0.0,,0.667,0.091,0.333,,0.0,0.286,0.455,0.143,0.286,,0.333,0.333,0.333,0.0
6,타율 - 체인지업,0.0,,1.0,,,0.25,0.0,0.0,0.0,0.0,0.176,0.188,0.625,0.5,,0.316,0.333,0.545,0.0,,0.0,0.167,0.0,0.0,0.0
7,타율 - 우타,0.0,0.182,0.118,0.0,,0.063,0.364,0.172,0.111,0.5,0.19,0.333,0.463,0.37,0.0,0.412,0.385,0.391,0.176,0.0,0.0,0.385,0.231,0.2,0.0
8,타율 - 좌타,0.0,1.0,0.0,0.0,0.0,0.167,0.75,0.118,0.071,0.333,0.375,0.143,0.333,0.231,0.0,0.0,0.125,0.227,0.167,0.286,0.0,0.167,0.25,0.25,0.0
9,타율 - 결정구,0.0,0.2,0.111,0.0,0.0,0.105,0.444,0.074,0.037,0.2,0.0,0.125,0.375,0.111,0.0,0.25,0.278,0.4,0.105,0.167,0.0,0.083,0.214,0.143,0.0
10,타율 - 카운트,0.0,0.574,0.1,0.0,0.0,0.12,0.478,0.12,0.16,0.333,0.219,0.251,0.425,0.422,0.0,0.289,0.186,0.361,0.127,0.536,0.0,0.222,0.125,0.3,0.0
11,타율 - 패스트볼,0.0,0.591,0.026,0.0,,0.0,0.778,0.207,0.266,0.5,0.233,0.214,0.314,0.329,0.0,0.0,0.258,0.307,0.206,0.0,0.0,0.75,0.25,0.222,0.0
