,피안타율,피안타율_1,피안타율_2,피안타율_3,피안타율_4,피안타율_5,피안타율_6,피안타율_7,피안타율_8,피안타율_9,피안타율_10,피안타율_11,피안타율_12,피안타율_13,피안타율_14,피안타율_15,피안타율_16,피안타율_17,피안타율_18,피안타율_19,피안타율_20,피안타율_21,피안타율_22,피안타율_23,피안타율_24,피안타율_25
0,타율 - 전체,,0.0,0.0,0.0,,0.0,0.278,0.19,0.636,0.25,0.0,0.167,0.217,0.636,,0.0,0.4,0.316,0.167,0.667,0.0,0.2,0.333,0.0,0.0
3,타율 - 슬라이더,,,0.0,,,,0.4,0.0,1.0,,0.0,0.25,0.333,1.0,,0.0,0.5,0.286,0.0,,0.0,0.5,0.333,,
4,타율 - 포크볼,,0.0,,0.0,,0.0,,0.0,1.0,,0.0,0.0,0.25,0.5,,,0.5,0.667,0.25,1.0,0.0,0.0,0.0,0.0,0.0
5,타율 - 우타,,0.0,0.0,0.0,,0.0,0.4,0.091,0.333,0.0,0.0,0.167,0.333,1.0,,0.0,0.667,0.333,0.0,,0.0,0.333,0.2,,
6,타율 - 좌타,,,,0.0,,0.0,0.2,0.3,1.0,1.0,0.0,0.2,0.143,0.6,,,0.286,0.25,0.222,0.5,,0.0,0.333,0.0,0.0
7,타율 - 결정구,,0.0,0.0,0.0,,0.0,0.2,0.222,1.0,,0.0,0.0,0.111,0.5,,0.0,0.429,0.125,0.0,1.0,0.0,0.0,0.167,0.0,0.0
8,타율 - 카운트,,0.0,0.0,0.0,,0.0,0.274,0.187,0.629,0.166,0.0,0.117,0.254,0.7,,0.0,0.19,0.501,0.178,0.333,0.0,0.125,0.4,0.0,0.0
9,타율 - 패스트볼,,0.0,0.0,0.0,,0.0,0.225,0.286,0.536,0.25,0.0,0.162,0.125,0.5,,,0.25,0.2,0.125,0.5,,,0.667,0.0,
