year,games,win,lose,saves,hold,ip,era,er,tbf,h,2b,3b,hr,bb,so,whip,war
2014,14,3,5,0,0,62.1,7.22,50,288,84,17,1,9,28,43,1.8,0.36
2015,18,2,0,0,0,34.2,7.53,29,159,48,8,1,7,14,25,1.73,0.05
2016,11,1,1,0,1,28.2,3.14,10,121,33,11,1,2,11,15,1.47,0.74
2017,28,1,1,0,1,45.1,4.76,24,206,49,11,1,5,33,23,1.74,0.78
2018,9,0,2,0,0,16.1,7.71,14,89,30,3,0,3,8,10,2.27,-0.19
2022,41,5,3,0,2,39.1,3.43,15,178,35,8,2,4,21,23,1.42,-0.73
2023,57,3,1,0,5,52.1,4.64,27,247,67,8,4,4,29,51,1.76,-0.7
2024,28,9,8,0,0,150.1,4.37,73,671,168,33,6,8,63,101,1.5,3.25
