year,games,win,lose,saves,hold,ip,era,er,tbf,h,2b,3b,hr,bb,so,whip,war
2023,30,11,8,0,0,183.2,2.65,54,763,164,19,0,7,50,147,1.12,6.61
2024,30,10,8,0,0,190.1,3.36,71,779,185,27,4,19,41,169,1.14,6.61
