year,h_avg,obp,slg,ops,wrc_plus,h,2b,3b,hr,rbi,sb,bb,so,pa,ab,war
2015,0.25,0.25,0.25,0.5,12.0,3,0,0,0,1,0,0,3,12,12,-0.09
2017,0.273,0.36,0.338,0.698,81.9,21,0,1,1,8,0,11,16,90,77,-0.07
2018,0.313,0.381,0.502,0.883,125.4,66,19,0,7,45,2,24,49,238,211,2.1
2019,0.227,0.269,0.328,0.597,59.7,70,12,5,3,34,2,19,53,335,308,-0.51
2021,0.249,0.32,0.371,0.691,87.8,61,10,1,6,33,0,26,42,274,245,1.31
2022,0.247,0.302,0.371,0.673,84.7,135,21,4,13,79,0,52,65,601,547,1.63
2023,0.263,0.325,0.358,0.683,84.6,102,16,3,5,60,1,44,38,438,388,0.92
2024,0.34,0.409,0.518,0.927,148.9,179,29,4,19,104,21,69,82,602,527,6.13
