year,h_avg,obp,slg,ops,wrc_plus,h,2b,3b,hr,rbi,sb,bb,so,pa,ab,war
2021,0.125,0.222,0.125,0.347,-9.7,2,0,0,0,0,2,2,7,19,16,-0.07
2023,0.267,0.313,0.4,0.713,104.9,4,2,0,0,2,0,1,5,16,15,-0.1
키움,0.396,0.515,0.911,0.184,2.15,11,4,6,103,3,1,54,4,223,30,2.15
2024,0.266,0.352,0.402,0.754,103.6,126,19,3,13,60,6,64,119,537,473,1.96
