year,h_avg,obp,slg,ops,wrc_plus,h,2b,3b,hr,rbi,sb,bb,so,pa,ab,war
2020,0.274,0.281,0.403,0.684,73.2,17,5,0,1,16,0,1,20,64,62,0.01
2021,0.239,0.275,0.321,0.596,51.9,38,5,4,0,20,0,9,40,171,159,0.0
2024,0.251,0.289,0.342,0.631,57.6,55,3,1,5,21,0,12,51,232,219,-0.2
