year,h_avg,obp,slg,ops,wrc_plus,h,2b,3b,hr,rbi,sb,bb,so,pa,ab,war
2023,0.182,0.308,0.182,0.49,47.8,2,0,0,0,0,0,2,4,13,11,-0.23
2024,0.257,0.3,0.418,0.718,79.2,67,15,0,9,38,0,18,82,283,261,0.22
