year,h_avg,obp,slg,ops,wrc_plus,h,2b,3b,hr,rbi,sb,bb,so,pa,ab,war
2023,0.336,0.398,0.454,0.852,147.0,77,14,2,3,29,9,27,41,261,229,1.71
2024,0.33,0.399,0.508,0.907,145.9,126,31,2,11,57,2,45,54,429,382,3.17
