,구사율,구사율_1,구사율_2,구사율_3,구사율_4,구사율_5,구사율_6,구사율_7,구사율_8,구사율_9,구사율_10,구사율_11,구사율_12,구사율_13,구사율_14,구사율_15,구사율_16,구사율_17,구사율_18,구사율_19,구사율_20,구사율_21,구사율_22,구사율_23,구사율_24,구사율_25
0,구사율 - 전체,1.0,2.0,3.7,2.4,1.6,2.2,3.8,5.6,3.7,2.1,4.2,6.1,6.7,4.5,2.1,5.5,6.4,7.3,4.0,2.2,7.4,6.0,5.3,3.0,1.2
4,구사율 - 커브,0.4,0.4,2.0,0.8,0.4,2.4,2.0,5.6,1.6,2.4,6.0,5.6,5.6,3.6,1.2,4.8,11.6,6.0,3.2,1.2,17.7,10.0,2.4,2.0,0.8
5,구사율 - 슬라이더,0.4,1.9,4.4,1.7,0.6,3.4,3.8,3.2,1.1,0.4,5.5,7.2,5.7,2.3,0.6,9.1,8.6,7.0,1.5,0.2,16.2,9.9,3.4,1.7,0.2
6,구사율 - 체인지업,,,0.5,0.7,,,0.9,1.2,2.0,1.2,1.4,2.7,4.6,4.3,2.1,4.3,6.9,8.9,7.3,4.4,8.5,11.3,14.2,8.3,4.3
7,구사율 - 우타,1.1,1.8,2.7,1.5,1.1,2.2,3.9,5.6,3.2,1.7,4.7,7.0,6.6,4.1,1.4,6.7,8.0,7.7,2.9,1.7,11.7,6.3,4.5,1.6,0.4
8,구사율 - 좌타,1.0,2.3,4.7,3.3,2.1,2.3,3.8,5.7,4.1,2.5,3.8,5.1,6.6,4.6,2.6,4.4,4.6,7.0,4.9,2.7,3.3,5.8,6.0,4.3,2.1
9,구사율 - 결정구,1.0,2.8,4.2,2.4,1.6,2.3,3.3,4.3,3.8,2.0,3.9,4.4,3.7,3.8,2.1,5.2,5.0,6.3,3.9,2.3,9.6,8.6,6.9,4.2,2.3
10,구사율 - 카운트,1.375,2.025,3.75,2.675,1.775,2.25,4.075,6.225,3.75,1.75,4.2,6.025,7.55,4.95,1.875,5.4,5.95,8.4,3.875,1.975,6.8,5.65,4.55,2.475,1.133
11,구사율 - 패스트볼,2.4,2.5,6.6,3.733,2.6,2.3,4.733,6.5,4.267,4.633,5.933,6.033,7.367,4.567,3.3,4.7,3.867,7.567,4.15,2.3,2.85,4.4,4.233,1.85,0.65
