,구사율,구사율_1,구사율_2,구사율_3,구사율_4,구사율_5,구사율_6,구사율_7,구사율_8,구사율_9,구사율_10,구사율_11,구사율_12,구사율_13,구사율_14,구사율_15,구사율_16,구사율_17,구사율_18,구사율_19,구사율_20,구사율_21,구사율_22,구사율_23,구사율_24,구사율_25
0,구사율 - 전체,0.6,2.2,4.0,3.8,3.2,1.6,3.3,5.8,5.1,2.6,3.8,5.2,5.9,4.3,2.2,4.7,6.0,6.4,3.7,1.5,7.6,7.4,6.0,2.6,0.6
2,구사율 - 커브,0.6,4.4,4.7,5.9,5.0,1.5,3.0,5.3,5.9,1.8,4.4,6.2,4.1,2.7,0.9,4.4,5.6,5.3,0.9,0.3,9.5,10.1,3.8,3.3,0.3
3,구사율 - 슬라이더,0.3,1.7,5.1,2.8,1.5,2.7,4.5,6.5,2.5,0.7,4.6,6.6,6.5,3.0,0.3,7.2,9.1,6.3,2.0,0.3,12.2,8.0,4.5,0.8,0.3
4,구사율 - 포크볼,,0.2,0.4,2.3,2.5,,0.9,2.1,5.5,4.4,1.1,2.3,4.2,4.9,5.1,2.5,4.1,6.7,6.7,4.8,7.8,10.6,13.1,6.5,1.6
5,구사율 - 우타,1.0,3.5,5.6,3.8,1.8,2.9,4.7,6.2,3.5,0.5,6.6,7.6,5.6,3.0,0.7,7.6,7.9,5.5,2.3,0.2,9.7,5.9,2.9,0.7,0.3
6,구사율 - 좌타,0.2,1.2,2.6,3.7,4.5,0.5,2.1,5.4,6.4,4.4,1.4,3.4,5.8,5.8,3.5,2.3,4.7,7.0,5.0,3.0,4.9,8.6,8.7,4.0,1.0
7,구사율 - 결정구,0.3,1.6,3.6,3.9,4.3,2.6,2.9,5.9,4.6,3.0,3.2,4.5,4.9,2.9,2.3,4.2,4.0,6.9,3.5,1.9,9.4,9.9,5.2,3.7,0.9
8,구사율 - 카운트,0.6,2.2,3.75,3.525,2.925,1.75,3.425,5.8,5.85,2.2,3.625,4.65,7.125,4.65,2.225,4.275,6.0,6.275,3.6,1.5,6.95,7.1,6.65,2.775,0.7
9,구사율 - 패스트볼,1.2,3.0,5.2,4.7,4.2,1.7,4.0,7.6,6.6,3.1,4.6,5.6,7.1,5.5,2.3,4.3,5.0,6.6,4.1,1.0,3.1,3.9,3.6,1.3,0.4
