,구사율,구사율_1,구사율_2,구사율_3,구사율_4,구사율_5,구사율_6,구사율_7,구사율_8,구사율_9,구사율_10,구사율_11,구사율_12,구사율_13,구사율_14,구사율_15,구사율_16,구사율_17,구사율_18,구사율_19,구사율_20,구사율_21,구사율_22,구사율_23,구사율_24,구사율_25
0,구사율 - 전체,2.7,3.4,4.3,2.4,1.0,3.5,4.0,5.6,3.4,1.8,4.7,5.4,6.5,5.0,4.3,3.9,4.2,7.3,3.9,3.5,2.4,3.6,4.6,4.8,3.7
4,구사율 - 커브,4.9,2.2,2.7,,0.5,2.7,5.5,2.7,3.3,1.1,8.2,5.5,7.7,2.7,1.6,2.2,4.4,6.0,2.2,2.7,2.2,5.5,8.8,9.9,4.4
5,구사율 - 슬라이더,0.5,1.1,1.1,1.1,0.3,1.6,2.4,2.6,1.8,0.5,1.1,4.7,6.3,5.3,4.0,2.1,3.4,10.3,6.3,6.6,0.5,3.4,7.4,11.6,14.0
6,구사율 - 체인지업,1.1,0.6,0.4,0.2,,3.4,3.2,0.9,0.6,0.2,11.8,7.3,2.8,0.9,0.6,12.8,6.8,7.9,1.3,0.9,10.7,10.9,8.3,4.9,1.7
7,구사율 - 우타,2.9,4.0,4.6,2.3,1.0,3.7,4.6,4.8,3.3,1.5,5.4,6.3,5.8,4.9,3.9,4.3,4.3,7.2,3.5,2.8,2.9,3.9,4.1,5.0,3.0
8,구사율 - 좌타,2.5,2.3,3.3,2.4,1.0,2.9,3.1,7.2,3.8,2.2,3.5,3.8,8.0,5.5,4.9,2.6,3.7,8.1,4.5,4.7,1.3,2.7,5.6,4.5,5.9
9,구사율 - 결정구,2.3,3.6,5.8,2.5,1.3,4.8,3.9,6.3,4.5,2.7,3.8,3.6,5.2,3.6,3.8,3.8,3.0,6.0,3.1,3.6,4.4,3.9,5.1,4.8,4.8
10,구사율 - 카운트,2.675,3.525,4.025,2.25,0.975,3.15,3.7,5.2,3.2,1.65,4.575,5.975,7.1,5.375,4.375,4.0,4.425,8.3,3.925,3.525,2.5,3.425,4.0,4.7,3.475
11,구사율 - 패스트볼,3.233,3.433,4.733,3.35,1.133,3.9,4.0,6.5,3.5,2.533,3.5,5.433,6.5,5.533,5.3,2.133,3.7,7.667,5.1,4.933,0.467,1.9,4.067,3.767,4.667
