,구사율,구사율_1,구사율_2,구사율_3,구사율_4,구사율_5,구사율_6,구사율_7,구사율_8,구사율_9,구사율_10,구사율_11,구사율_12,구사율_13,구사율_14,구사율_15,구사율_16,구사율_17,구사율_18,구사율_19,구사율_20,구사율_21,구사율_22,구사율_23,구사율_24,구사율_25
0,구사율 - 전체,0.6,2.7,5.0,4.4,4.2,1.5,4.9,8.2,5.4,3.2,5.2,7.6,6.1,3.8,2.6,4.5,3.8,5.6,3.2,1.7,5.4,4.5,3.6,1.3,1.0
3,구사율 - 슬라이더,1.3,3.9,3.9,0.7,1.3,2.0,7.2,9.2,3.3,0.7,6.5,7.2,4.6,1.3,2.6,7.2,6.5,5.2,2.6,0.7,9.8,9.2,3.3,,
4,구사율 - 포크볼,,0.9,0.9,4.3,5.1,1.7,,4.3,5.1,2.6,0.9,3.4,6.8,6.0,2.6,4.3,1.7,7.7,3.4,2.6,6.8,12.8,9.4,3.4,3.4
5,구사율 - 우타,0.5,3.7,7.1,5.0,2.9,2.4,6.1,8.7,4.2,3.4,6.3,8.2,5.5,1.3,3.2,5.8,4.0,4.0,1.8,0.8,8.2,3.7,2.9,0.3,
6,구사율 - 좌타,0.8,2.0,3.4,3.7,4.8,0.6,3.1,7.9,6.5,3.1,4.5,6.2,7.3,7.1,2.0,2.8,4.0,7.6,4.0,2.5,2.3,5.4,4.5,2.0,2.0
7,구사율 - 결정구,0.5,4.1,5.9,4.1,3.2,2.3,5.0,7.3,4.5,2.7,5.5,5.5,5.5,4.1,0.9,5.5,3.2,5.9,0.5,1.8,9.1,5.5,4.5,1.8,1.4
8,구사율 - 카운트,1.1,2.775,4.975,4.15,4.35,1.6,4.125,7.275,6.4,3.025,4.5,7.05,7.65,3.975,3.425,3.65,3.925,6.45,2.75,2.0,6.05,3.7,4.025,1.35,1.067
9,구사율 - 패스트볼,0.65,2.8,6.45,5.15,5.15,1.4,5.5,9.2,5.8,4.2,5.7,8.35,6.2,4.1,2.55,3.9,3.8,4.95,3.2,1.95,3.8,1.9,2.2,1.35,0.65
